,anger,fear,joy,love,sadness,surprise
idiot,1.1948997886627692,0.06833297965455551,0.5524151742662538,-0.39237036709234263,0.35990808410624886,-5.860070286769723
beaten,-1.115555521780644,-7.582718711524373,-9.093243258142456,-7.0505818498441375,2.1655473500681093,-5.860070286769723
provide,-0.832113205326878,0.35534182295717975,1.0119413157904522,0.473639934942197,0.23467230723523452,1.0815835124358382
strive,-5.852018031505724,-5.660969738497658,1.0621253916439597,1.5293786059343715,-0.29135264082642776,-3.9383213137430086
un,1.0369888073167064,0.23519689189763873,0.7139192889826805,0.767333753577874,-1.053397493182925,-4.7003661660995055
capable,0.900330140596497,0.09853822517742944,0.8984689890027595,-6.0275363958941295,-0.19721595147600054,-4.837024832819715
casual,-8.7590946863044,-8.568046393296333,2.1201810252793187,-8.035909531616099,-9.856640778376898,-6.8453979685416835
decade,0.5698945024816907,1.7537830039168905,-0.7495817511283267,2.285919865597126,-7.185863072342602,-4.174620262507387
sensation,0.5599690515028753,0.7510173445109416,0.23689953316884954,-6.367897484987751,0.04499094501115099,2.4736657692655917
prevent,0.900330140596497,-6.5596732575743655,0.5772606222624714,-6.0275363958941295,0.7991907837999912,-4.837024832819715
virginia,0.8061934512460699,-5.660969738497658,1.0621253916439597,-5.128832876817423,-0.29135264082642776,-3.9383213137430086
eventually,-0.06234062845685039,-7.522344026627713,0.6127898591629138,1.978459628247731,0.42028276900290906,-5.799695601873062
excellent,-6.461310506797877,1.380789477389118,0.8666716660470264,0.9200861306422199,-0.9006451161185791,-4.54761378903516
immature,0.3700499945121966,1.5539384959473965,0.04341394932931271,-5.5649763335512965,0.2653441108668327,-4.374464770476882
content,-2.324946530915923,-2.133898237907857,2.129872575727953,-9.25281306740655,-2.1048775209721406,-1.4040900215803402
team,0.34088727274456754,-8.699285614958551,1.3414174420216531,1.064072427432869,-0.17249670422557684,-0.3184257074521065
soul,0.8548070512954942,0.0482538403520768,0.2713358758102848,0.9942294517275304,0.7560602142174452,-6.462717411652975
pang,-6.614062883862222,-6.423014590854156,-1.2753276547204448,1.7601739620050079,1.2570578172604885,1.957845316652289
seriously,1.1127385137365047,0.9416741449416556,-0.2067377398735126,0.667998799066188,0.6520503662812868,0.8621036268646112
advice,0.9568643236710449,-0.4274955773287962,1.2191516891148642,-6.553570198400355,-1.71608996240936,1.295152847425854
plug,-5.852018031505724,1.9900819526812696,0.4795574060631861,-5.128832876817423,-0.29135264082642776,-3.9383213137430086
sunny,0.044148598889572434,0.23519689189763873,1.297682043238946,-5.890877729173921,-1.053397493182925,-4.7003661660995055
flesh,0.8061934512460699,0.9972417442541361,-7.171494285115742,2.522218814361505,-0.29135264082642776,-3.9383213137430086
garden,0.9568643236710449,-7.0857070600805905,0.3724351864965338,2.0938882280545648,-0.14068176840145258,-5.363058635325941
sometime,1.5627347109088245,-5.897268687262038,0.2432584572988071,1.2930796571699923,-0.5276515895908069,-4.174620262507387
weapon,0.8061934512460699,0.9972417442541361,-0.5132828023639474,1.5293786059343715,-0.29135264082642776,-3.9383213137430086
run,0.7318570913010536,0.8074743885965452,0.8408754450393158,0.5624328024771822,0.7149385029308928,0.7539737591314019
confidence,-0.28862663441398223,0.48498964417485746,1.2925536824177604,-0.5582816881528143,-0.8036047409057062,0.6322298749216005
finally,-0.27296995995944345,-0.3039711202508149,1.242284042127489,0.8123278565317736,0.34425858218152533,0.83491455024757
exact,-6.874356795837969,0.9677431883490253,-1.535621566696192,-6.151171641149668,1.481367746100156,1.6975514046765416
tackle,-0.21614531308617466,-0.025097020078108562,0.4536253770069334,0.5070398416021269,0.26171678884923477,1.6975514046765416
spending,1.0463846427419283,1.2374329357499945,-0.27309161086808903,1.1870018118494565,-0.05116144933056926,-5.273538316255057
herself,1.6477147280974511,0.2585935315732603,0.06568408697145676,0.7907303932534957,-0.4474328679265301,0.9884017479007766
text,-7.583506452613734,1.8387630211055173,0.5502879277868715,0.7907303932534957,-0.033594118231311546,-5.669809734851018
apprehensive,-2.70758693898616,3.678754372291391,-10.685274675347973,-8.642613267049652,-10.463344513810453,-7.452101703975238
childish,0.5698945024816907,0.7609427954897569,0.2432584572988071,-5.365131825581803,0.46518861883632684,-4.174620262507387
video,1.2406376475324556,-0.14848354899173477,0.919960648916887,-0.6091868957386334,-0.44067119879630695,0.5813246673357815
wood,-0.09251006783063688,0.09853822517742944,0.8984689890027595,1.6235152952847984,-1.1900561599031345,-4.837024832819715
contraction,0.19690097595391828,-6.2702622137898105,-7.780786760407894,1.9129263390693534,0.6747630778893279,3.103437902143768
cheek,-0.21614531308617466,0.9677431883490253,0.03978662731171517,2.082448035610034,-0.32085119673153867,-4.960660078075253
addiction,-5.852018031505724,-5.660969738497658,0.4795574060631861,2.522218814361505,-0.29135264082642776,-3.9383213137430086
mild,1.3628902029393302,-6.097113195231532,-0.9494262590978209,2.0860753576276316,0.2653441108668327,-4.374464770476882
l,0.8061934512460699,1.9900819526812696,-0.5132828023639474,-5.128832876817423,-0.29135264082642776,-3.9383213137430086
faithful,-9.276228679792181,-9.085180386784115,1.0028128772104241,3.3765847579206825,-10.373774771864678,-7.362531962029465
carry,0.014735729578304211,0.6196227722815887,0.4288660580445783,-0.8374873097413016,0.7881687143104736,1.345864461760247
la,0.044148598889572434,0.23519689189763873,0.30008053928746237,-5.890877729173921,0.9358494505202005,-4.7003661660995055
